 7.528000           0.267649       5340   18      
 10.91600           0.379040       5340   19      
 15.82800           0.516572       5340   20      
 22.95700           0.671958       5340   21      
 33.27900           0.819934       5340   22      
 48.25500           0.919198       5340   23      
 69.97000           0.966161       5340   24      
 101.4570           0.982870       5340   25      
 147.1120           0.989015       5340   26      
 213.3120           0.993591       5340   27      
